length (m),F_geo,V_trn,I_trn,V_out,I_out,E_pon,E_poff,E_crit,_IR_cips,IR_cips,A_scan,R_gb,R_t2m,R_t3m,D_dcvg,D_olre,F_type,F_id,D_clas,D_len,D_erf,D_dept,SRF_loc,N_ocd,S_srb,T_opr,C_pipe,Y_pipe,S_CR,Decision
"122,000",TP122,100,100,16.50,8.50,0,0,,0,0,0.05,100,6280.036,3768.004,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,001",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6287.572,3779.308,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,002",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6295.108,3790.612,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,003",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6302.644,3801.916,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,004",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6310.18,3813.22,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,005",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6317.716,3824.524,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,006",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6325.252,3835.828,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,007",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6332.788,3847.132,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,008",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6340.324,3858.436,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,009",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6347.86,3869.74,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,010",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6355.396,3881.044,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,011",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6362.932,3892.348,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,012",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6370.468,3903.652,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,013",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6378.004,3914.956,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,014",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6385.54,3926.26,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,015",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6393.076,3937.564,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,016",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6400.612,3948.868,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,017",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6408.148,3960.172,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,018",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6415.684,3971.476,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,019",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6423.22,3982.78,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,020",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6430.756,3994.084,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,021",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6438.292,4005.388,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,022",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6445.828,4016.692,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,023",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6453.364,4027.996,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,024",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6460.9,4039.3,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,025",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6468.436,4050.604,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,026",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6475.972,4061.908,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,027",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6483.508,4073.212,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,028",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6491.044,4084.516,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,029",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6498.58,4095.82,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,030",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6506.116,4107.124,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,031",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6513.652,4118.428,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,032",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6521.188,4129.732,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,033",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6528.724,4141.036,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,034",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6536.26,4152.34,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,035",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6543.796,4163.644,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,036",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6551.332,4174.948,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,037",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6558.868,4186.252,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,038",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6566.404,4197.556,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,039",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6573.94,4208.86,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,040",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6581.476,4220.164,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,041",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6589.012,4231.468,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,042",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6596.548,4242.772,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,043",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6604.084,4254.076,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,044",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6611.62,4265.38,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,045",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6619.156,4276.684,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,046",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6626.692,4287.988,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,047",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6634.228,4299.292,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,048",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6641.764,4310.596,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,049",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6649.3,4321.9,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,050",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6656.836,4333.204,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,051",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6664.372,4344.508,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,052",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6671.908,4355.812,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,053",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6679.444,4367.116,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,054",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6686.98,4378.42,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,055",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6694.516,4389.724,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,056",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6702.052,4401.028,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,057",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6709.588,4412.332,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,058",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6717.124,4423.636,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,059",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6724.66,4434.94,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,060",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6732.196,4446.244,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,061",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6739.732,4457.548,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,062",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6747.268,4468.852,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,063",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6754.804,4480.156,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,064",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6762.34,4491.46,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,065",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6769.876,4502.764,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,066",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6777.412,4514.068,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,067",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6784.948,4525.372,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,068",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6792.484,4536.676,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,069",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6800.02,4547.98,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,070",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6807.556,4559.284,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,071",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6815.092,4570.588,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,072",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6822.628,4581.892,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,073",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6830.164,4593.196,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,074",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6837.7,4604.5,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,075",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6845.236,4615.804,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,076",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6852.772,4627.108,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,077",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6860.308,4638.412,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,078",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6867.844,4649.716,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,079",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6875.38,4661.02,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,080",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6882.916,4672.324,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,081",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6890.452,4683.628,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,082",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6897.988,4694.932,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,083",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6905.524,4706.236,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"122,084",No Feature,100,100,16.50,8.50,0,0,,0,0,0.05,100,6913.06,4717.54,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
